gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
0,6,14,0.5668316831683169,0.26187838063965196,0.3267326732673267,1.0,0.3928571428571429,36,50.857142857142854,3,1.8571428571428572,6,6.428571428571429,5.428571428571429,7,0.0,5.3171610832214355,"ada ( LR ( C = 50 , max_iter = 5 ) ; voting = soft )"
1,0,20,0.37425742574257426,0.1455344510536455,0.3168316831683168,1.0,0.3526785714285714,36,39.85,2,2.45,7,6.7,6.9,7,7.939338684082031e-05,0.8550310134887695,vote ( RF ( max_depth = 5 ) ; voting = soft )
2,0,20,0.3455445544554456,0.04314605657326917,0.3168316831683168,0.48514851485148514,0.3526785714285714,36,35.75,2,2.05,7,6.7,6.4,7,7.987022399902344e-05,0.8166637420654297,vote ( RF ( max_depth = 5 ) ; voting = soft )
3,0,20,0.3420792079207921,0.048854639557502647,0.3168316831683168,0.5247524752475248,0.3526785714285714,36,36.1,2,2.35,7,7.1,7.6,7,0.00010561943054199219,0.9475040435791016,vote ( RF ( max_depth = 5 ) ; voting = soft )
4,0,20,0.3430693069306931,0.04604492676565812,0.3168316831683168,0.48514851485148514,0.3526785714285714,36,36.7,2,2.5,7,7.3,8.15,7,7.915496826171875e-05,1.0575940608978271,vote ( RF ( max_depth = 5 ) ; voting = soft )
5,0,20,0.3415841584158416,0.04052154837560621,0.3168316831683168,0.4554455445544554,0.3526785714285714,36,37.0,2,2.35,7,7.15,7.6,7,8.106231689453125e-05,1.0098438262939453,vote ( RF ( max_depth = 5 ) ; voting = soft )
6,0,20,0.34851485148514855,0.042308634889547544,0.3168316831683168,0.4752475247524752,0.3526785714285714,36,38.2,2,2.15,7,7.25,7.65,7,7.62939453125e-05,1.1853039264678955,vote ( RF ( max_depth = 5 ) ; voting = soft )
7,0,20,0.349009900990099,0.06655608742449877,0.29702970297029707,0.594059405940594,0.3928571428571429,33,36.9,4,2.9,9,7.65,9.4,13,8.821487426757812e-05,1.4867658615112305,"vote ( NB ( var_smoothing = 1e-7 ) , XGB ( n_estimators = 5 ) , SVM ( C = 1.0 , kernel = rbf ) )"
8,0,20,0.39752475247524754,0.1585171396424855,0.27722772277227725,1.0,0.3973214285714286,43,33.7,4,3.8,9,8.15,11.35,13,0.00010228157043457031,1.9520325660705566,"vote ( NB ( var_smoothing = 1e-7 ) , XGB ( n_estimators = 3 ) , XGB ( n_estimators = 5 , max_depth = 3 ) )"
9,0,20,0.3272277227722773,0.05120592600618761,0.26732673267326734,0.48514851485148514,0.3660714285714286,31,39.85,5,3.5,10,8.45,11.2,17,8.487701416015625e-05,1.5375654697418213,"vote ( NB ( var_smoothing = 1e-7 ) , XGB ( n_estimators = 3 ) , SVM ( C = 0.1 , kernel = rbf ) , GB ( n_estimators = 50 ) )"
10,0,20,0.31188118811881194,0.027384785516711523,0.26732673267326734,0.3465346534653465,0.3660714285714286,31,38.8,5,4.25,10,9.45,14.2,17,8.20159912109375e-05,1.3763768672943115,"vote ( NB ( var_smoothing = 1e-7 ) , XGB ( n_estimators = 3 ) , SVM ( C = 0.1 , kernel = rbf ) , GB ( n_estimators = 50 ) )"
11,0,20,0.31138613861386144,0.0354885241941045,0.25742574257425743,0.39603960396039606,0.3839285714285714,41,37.3,5,4.2,10,9.55,14.35,17,7.915496826171875e-05,1.7291557788848877,"vote ( NB ( var_smoothing = 1e-7 ) , XGB ( n_estimators = 3 ) , SVM ( C = 0.1 , kernel = rbf ) , GB ( n_estimators = 10 ) )"
12,0,20,0.3237623762376238,0.041901195979205594,0.25742574257425743,0.39603960396039606,0.3839285714285714,41,39.95,5,4.2,10,9.2,13.9,17,0.00029015541076660156,1.4927091598510742,"vote ( NB ( var_smoothing = 1e-7 ) , XGB ( n_estimators = 3 ) , SVM ( C = 0.1 , kernel = rbf ) , GB ( n_estimators = 10 ) )"
13,0,20,0.3455445544554455,0.1537652770154742,0.25742574257425743,1.0,0.3839285714285714,41,43.95,5,4.5,10,9.65,15.25,17,8.130073547363281e-05,1.4203956127166748,"vote ( NB ( var_smoothing = 1e-7 ) , XGB ( n_estimators = 3 ) , SVM ( C = 0.1 , kernel = rbf ) , GB ( n_estimators = 10 ) )"
14,0,20,0.30445544554455456,0.043369840267166414,0.25742574257425743,0.39603960396039606,0.3839285714285714,41,41.0,5,5.15,10,10.05,17.15,17,9.870529174804688e-05,1.6209402084350586,"vote ( NB ( var_smoothing = 1e-7 ) , XGB ( n_estimators = 3 ) , SVM ( C = 0.1 , kernel = rbf ) , GB ( n_estimators = 10 ) )"
