gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
0,3,2,0.6366071428571429,0.2969954777021196,0.40625,1.0,0.4044265593561368,93,91.5,2,1.5,6,6.5,4.5,5,0.0,0.49812984466552734,"bag ( LR ( C = 0.1 , max_iter = 2 ) )"
1,0,5,0.40714285714285714,0.024024328655488755,0.3705357142857143,0.4464285714285714,0.31589537223340036,87,92.4,1,1.6,6,6.4,4.6,4,4.38690185546875e-05,4.561469793319702,bag ( GB ( learning_rate = 0.1 ) )
2,0,5,0.5223214285714286,0.24404580429058134,0.3705357142857143,1.0,0.3199195171026157,87,87.0,1,1.0,6,6.0,4.0,4,5.412101745605469e-05,4.445444107055664,bag ( GB ( learning_rate = 0.1 ) )
