gen,train_min_mean,train_min_std,train_avg_mean,train_avg_std,train_max_mean,train_max_std,test_mean,test_std,invalid_mean
0,0.3529411764705882,0.0,0.6567647058823529,0.06441176470588234,1.0,0.0,0.4533333333333333,0.026666666666666672,14.5
1,0.3529411764705882,0.0,0.4841176470588235,0.029411764705882415,1.0,0.0,0.4533333333333333,0.026666666666666672,0.0
2,0.3529411764705882,0.0,0.45823529411764696,0.03823529411764706,0.8676470588235294,0.13235294117647056,0.4533333333333333,0.026666666666666672,0.0
3,0.30882352941176466,0.04411764705882354,0.4491176470588235,0.03323529411764711,1.0,0.0,0.47333333333333333,0.006666666666666654,0.0
4,0.30882352941176466,0.04411764705882354,0.4138235294117647,0.039117647058823535,0.75,0.25,0.47333333333333333,0.006666666666666654,0.0
5,0.30882352941176466,0.04411764705882354,0.43117647058823527,0.05411764705882355,1.0,0.0,0.47333333333333333,0.006666666666666654,0.0
