gen,train_min_mean,train_min_std,train_avg_mean,train_avg_std,train_max_mean,train_max_std,test_mean,test_std,invalid_mean
0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,15.4
1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2,0.9032727272727273,0.19345454545454546,0.9980654545454545,0.003869090909090911,1.0,0.0,1.0,0.0,0.2
3,0.9032727272727273,0.19345454545454546,0.9980654545454545,0.003869090909090911,1.0,0.0,1.0,0.0,0.0
4,0.9032727272727273,0.19345454545454546,0.9941963636363637,0.011607272727272733,1.0,0.0,1.0,0.0,0.0
5,0.9032727272727273,0.19345454545454546,0.9845236363636364,0.030952727272727333,1.0,0.0,0.9247135842880525,0.15057283142389527,0.2
6,0.9032727272727273,0.19345454545454546,0.9864581818181819,0.027083636363636334,1.0,0.0,1.0,0.0,0.0
7,0.8916363636363636,0.21672727272727277,0.9842909090909091,0.03141818181818179,1.0,0.0,1.0,0.0,0.0
8,0.8916363636363636,0.21672727272727277,0.9784290909090909,0.04314181818181817,1.0,0.0,1.0,0.0,0.4
9,0.8916363636363636,0.21672727272727277,0.9820945454545456,0.03581090909090903,1.0,0.0,0.8913256955810148,0.21734860883797055,0.2
10,0.8916363636363636,0.21672727272727277,0.9795490909090908,0.0409018181818181,1.0,0.0,1.0,0.0,0.0
