gen,train_min_mean,train_min_std,train_avg_mean,train_avg_std,train_max_mean,train_max_std,test_mean,test_std,invalid_mean
0,0.0234375,0.0078125,0.7421875,0.04468749999999999,1.0,0.0,0.03496503496503495,0.013986013986014012,14.5
1,0.0234375,0.0078125,0.32125000000000004,0.0012500000000000011,1.0,0.0,0.04195804195804198,0.006993006993006978,0.0
2,0.0234375,0.0078125,0.08828125,0.0020312500000000053,1.0,0.0,0.04195804195804198,0.006993006993006978,0.0
3,0.015625,0.0,0.095,0.015,1.0,0.0,0.03146853146853146,0.010489510489510523,0.0
4,0.015625,0.0,0.07265625,0.014218749999999995,1.0,0.0,0.04195804195804198,0.0,0.0
5,0.015625,0.0,0.130625,0.015,1.0,0.0,0.03146853146853146,0.010489510489510523,0.0
