gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,invalid_count_min,invalid_count_avg,invalid_count_max,invalid_count_std,nodes_length_min,nodes_length_avg,nodes_length_max,nodes_length_std,structural_diversity,selection_time,generation_time
0,14,0.7150335570469799,0.3092531516796421,0.32885906040268453,1.0,0.3440643863179075,44,62.861111111111114,2,1.5,6,6.361111111111111,5.027777777777778,6,14,14.0,14,0.0,1,1.5,3,0.560611910581388,0.72,0.0,14.39957571029663
1,1,0.38147651006711414,0.12730013387463776,0.3221476510067114,1.0,0.3480885311871227,79,58.83673469387755,4,1.9795918367346939,7,6.591836734693878,6.224489795918367,9,1,1.0,1,0.0,1,1.9795918367346939,4,0.661116351281658,0.82,0.00028634071350097656,16.378015995025635
2,0,0.3856375838926175,0.1560642111962431,0.3221476510067114,1.0,0.38832997987927564,79,53.34,4,2.28,7,6.36,6.66,9,0,0.0,0,0.0,1,2.28,4,0.7835033829029764,0.76,0.0003216266632080078,33.36939001083374
3,0,0.3902013422818792,0.15546156671435757,0.3221476510067114,1.0,0.3319919517102615,79,63.0,4,2.66,7,6.5,7.04,9,0,0.0,0,0.0,1,2.66,4,0.9816687167205417,0.82,0.00028514862060546875,9.057766199111938
4,0,0.3693959731543624,0.12997946915799619,0.30201342281879195,1.0,0.34607645875251514,79,63.72,4,2.78,7,6.6,7.36,9,0,0.0,0,0.0,2,2.78,4,0.9749934589000888,0.72,0.0002841949462890625,22.814332246780396
5,0,0.3449664429530202,0.02205594191295972,0.30201342281879195,0.42281879194630867,0.34004024144869216,79,66.92,4,2.96,7,6.9,7.92,9,0,0.0,0,0.0,2,2.96,4,0.9467452300446224,0.64,0.00030994415283203125,8.383342504501343
6,0,0.3920805369127517,0.15926891438906587,0.30201342281879195,1.0,0.3762575452716298,79,68.32,4,2.84,7,6.92,7.86,9,0,0.0,0,0.0,2,2.84,6,1.03726484918122,0.74,0.0002777576446533203,39.03917860984802
7,0,0.37221476510067114,0.1301058945795045,0.30201342281879195,1.0,0.3621730382293763,79,73.5,4,2.7,7,7.08,7.78,9,0,0.0,0,0.0,2,2.7,4,0.9091372900969897,0.72,0.00030493736267089844,8.999176263809204
8,0,0.3500671140939597,0.023340271071310786,0.30201342281879195,0.4093959731543624,0.3661971830985915,79,77.76,4,2.84,7,6.9,7.64,9,0,0.0,0,0.0,1,2.84,4,0.9553287712743136,0.7,0.000278472900390625,11.16460657119751
9,0,0.39100671140939597,0.15590596804061574,0.30201342281879195,1.0,0.3561368209255533,79,79.26,4,2.74,7,7.1,7.88,9,0,0.0,0,0.0,1,2.74,5,1.006306643734647,0.78,0.00031948089599609375,6.276203393936157
10,0,0.34241610738255035,0.0222790489024801,0.30201342281879195,0.4161073825503355,0.358148893360161,79,79.84,4,2.78,7,7.08,7.98,9,0,0.0,0,0.0,2,2.78,5,0.9538322275784913,0.64,0.00028228759765625,13.781621217727661
11,0,0.39369127516778524,0.15785149294385054,0.30201342281879195,1.0,0.36016096579476864,79,80.82,4,2.76,7,7.0,7.8,9,0,0.0,0,0.0,1,2.76,7,1.1168468734681178,0.8,0.0002808570861816406,12.793835639953613
12,0,0.352751677852349,0.09488670259548816,0.30201342281879195,1.0,0.3561368209255533,79,79.54,4,2.36,7,7.06,7.54,9,0,0.0,0,0.0,2,2.36,5,0.7494215456345144,0.62,0.0002841949462890625,12.36228632926941
13,0,0.35825503355704696,0.09617606559321974,0.30201342281879195,1.0,0.3480885311871227,79,79.3,4,2.78,7,7.04,8.0,9,0,0.0,0,0.0,2,2.78,5,0.9321907486328829,0.76,0.0002727508544921875,15.551775932312012
14,0,0.35060402684563763,0.024330502143081245,0.30201342281879195,0.4161073825503355,0.358148893360161,79,82.28,4,2.94,7,7.06,8.1,9,0,0.0,0,0.0,2,2.94,4,0.9348141799418792,0.74,0.0002772808074951172,9.854225397109985
15,0,0.3561073825503356,0.09455620834769617,0.30201342281879195,1.0,0.35412474849094566,79,81.16,4,2.7,7,7.06,7.86,9,0,0.0,0,0.0,2,2.7,4,0.8390957231764807,0.68,0.00028324127197265625,11.580350160598755
16,0,0.3610738255033557,0.09446651441563979,0.30201342281879195,1.0,0.3561368209255533,79,84.54,4,2.58,7,6.96,7.62,9,0,0.0,0,0.0,2,2.58,4,0.7848046682754498,0.68,0.00027489662170410156,11.069339036941528
17,0,0.3618791946308725,0.0944840595646895,0.30201342281879195,1.0,0.34607645875251514,79,86.36,4,2.7,7,7.26,8.28,9,0,0.0,0,0.0,2,2.7,7,1.0546302185881,0.8,0.0002796649932861328,11.970833778381348
