gen,train_min_mean,train_min_std,train_avg_mean,train_avg_std,train_max_mean,train_max_std,test_mean,test_std,invalid_mean
0,0.3571428571428571,0.0,0.6890625,0.0020089285714285365,1.0,0.0,0.3470824949698189,0.015090543259557387,4.0
1,0.34375,0.013392857142857095,0.4575892857142857,0.040178571428571425,1.0,0.0,0.34104627766599593,0.00905432595573441,0.0
2,0.34151785714285715,0.011160714285714246,0.3935267857142857,0.03727678571428575,0.7232142857142857,0.2767857142857143,0.3551307847082495,0.0010060362173038295,0.0
3,0.34151785714285715,0.011160714285714246,0.35825892857142855,0.011383928571428559,0.3861607142857143,0.0200892857142857,0.35311871227364183,0.0010060362173038295,0.0
