gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
0,25,75,0.5577232142857143,0.2671376161811625,0.34375,1.0,0.34375,26,57.42666666666667,3,1.6533333333333333,7,6.4,5.173333333333333,8,0.0,23.047226905822754,"stack ( DT ( max_depth = 3 , criterion = gini ) ; final_estimator = DT )"
1,0,100,0.4019642857142857,0.08042635907893554,0.3303571428571429,1.0,0.3303571428571429,20,54.45,2,1.9,6,6.56,5.95,5,0.00016069412231445312,41.099135875701904,"bag ( XGB ( n_estimators = 1 , max_depth = 3 ) )"
2,0,100,0.40209821428571435,0.1172336303762661,0.3303571428571429,1.0,0.3303571428571429,20,54.4,2,1.97,6,6.58,6.02,5,0.00015115737915039062,18.637415647506714,"bag ( XGB ( n_estimators = 1 , max_depth = 3 ) )"
3,2,98,0.3999107142857144,0.11324719975589252,0.3303571428571429,1.0,0.3303571428571429,20,47.91836734693877,2,2.0816326530612246,6,6.520408163265306,6.1020408163265305,5,0.000141143798828125,15.893909692764282,"bag ( XGB ( n_estimators = 1 , max_depth = 3 ) )"
4,0,100,0.380982142857143,0.07358415935276466,0.3303571428571429,1.0,0.3303571428571429,20,51.46,2,2.34,6,6.76,6.87,5,0.0001614093780517578,28.201549530029297,"bag ( XGB ( n_estimators = 1 , max_depth = 3 ) )"
5,1,99,0.3860714285714286,0.09732650707588265,0.3303571428571429,1.0,0.3303571428571429,20,50.15151515151515,2,2.474747474747475,6,7.040404040404041,7.404040404040404,5,0.0002472400665283203,24.093040227890015,"bag ( XGB ( n_estimators = 1 , max_depth = 3 ) )"
6,0,100,0.37000000000000016,0.03782954688265428,0.3214285714285714,0.5,0.3214285714285714,64,48.93,4,2.7,8,7.2,7.89,12,0.00023365020751953125,26.651625871658325,"stack ( DT ( max_depth = 2 , criterion = log_loss ) , RF ( max_depth = 2 ) ; n_estimators = 3 )"
7,1,99,0.3786607142857143,0.07593323505701893,0.3125,1.0,0.3125,44,49.90909090909091,7,2.919191919191919,10,7.313131313131313,8.484848484848484,20,0.0002472400665283203,18.804202556610107,"vote ( RF ( n_estimators = 10 , max_depth = 2 ) , DT ( max_depth = 50 , min_samples_split = 0.4 ) , RF ( n_estimators = 200 , max_depth = 5 ) , NB ( var_smoothing = 1e-7 ) )"
8,0,100,0.38870535714285714,0.09562590660834733,0.3125,1.0,0.3125,44,49.84,7,2.84,10,7.34,8.43,20,0.00014066696166992188,14.450590133666992,"vote ( RF ( n_estimators = 10 , max_depth = 2 ) , DT ( max_depth = 50 , min_samples_split = 0.4 ) , RF ( n_estimators = 200 , max_depth = 5 ) , NB ( var_smoothing = 1e-7 ) )"
9,0,100,0.3811607142857143,0.07974663921969838,0.3125,1.0,0.3125,44,51.13,7,2.54,10,7.16,7.52,20,0.00016641616821289062,10.321205377578735,"vote ( RF ( n_estimators = 10 , max_depth = 2 ) , DT ( max_depth = 50 , min_samples_split = 0.4 ) , RF ( n_estimators = 200 , max_depth = 5 ) , NB ( var_smoothing = 1e-7 ) )"
10,0,100,0.3677678571428572,0.03907094296512016,0.3125,0.5,0.3125,44,52.46,7,2.93,10,7.52,8.74,20,0.00015211105346679688,9.4707772731781,"vote ( RF ( n_estimators = 10 , max_depth = 2 ) , DT ( max_depth = 50 , min_samples_split = 0.4 ) , RF ( n_estimators = 200 , max_depth = 5 ) , NB ( var_smoothing = 1e-7 ) )"
11,0,100,0.37803571428571436,0.07847213693732448,0.3125,1.0,0.3125,44,53.51,7,3.23,10,7.79,9.65,20,0.00015354156494140625,12.382463932037354,"vote ( RF ( n_estimators = 10 , max_depth = 2 ) , DT ( max_depth = 50 , min_samples_split = 0.4 ) , RF ( n_estimators = 200 , max_depth = 5 ) , NB ( var_smoothing = 1e-7 ) )"
12,0,100,0.4012946428571428,0.1176572557515893,0.3125,1.0,0.3125,44,53.36,7,3.24,10,7.79,9.91,20,0.00017905235290527344,10.298959732055664,"vote ( RF ( n_estimators = 10 , max_depth = 2 ) , DT ( max_depth = 50 , min_samples_split = 0.4 ) , RF ( n_estimators = 200 , max_depth = 5 ) , NB ( var_smoothing = 1e-7 ) )"
13,0,100,0.3787946428571429,0.08336239262679716,0.3125,1.0,0.3125,44,52.73,7,3.54,10,7.93,10.63,20,0.00016045570373535156,12.688802480697632,"vote ( RF ( n_estimators = 10 , max_depth = 2 ) , DT ( max_depth = 50 , min_samples_split = 0.4 ) , RF ( n_estimators = 200 , max_depth = 5 ) , NB ( var_smoothing = 1e-7 ) )"
14,0,100,0.37120535714285724,0.0480543602618802,0.3125,0.5892857142857143,0.3125,44,51.36,7,3.0,10,7.67,9.13,20,0.000156402587890625,10.5327467918396,"vote ( RF ( n_estimators = 10 , max_depth = 2 ) , DT ( max_depth = 50 , min_samples_split = 0.4 ) , RF ( n_estimators = 200 , max_depth = 5 ) , NB ( var_smoothing = 1e-7 ) )"
15,0,100,0.37696428571428575,0.07564117932848535,0.3125,1.0,0.3125,44,50.9,7,3.21,10,7.77,9.76,20,0.00014162063598632812,14.71211576461792,"vote ( RF ( n_estimators = 10 , max_depth = 2 ) , DT ( max_depth = 50 , min_samples_split = 0.4 ) , RF ( n_estimators = 200 , max_depth = 5 ) , NB ( var_smoothing = 1e-7 ) )"
16,0,100,0.38062499999999994,0.08051725120958202,0.3125,1.0,0.3125,44,52.53,7,3.26,10,7.73,9.8,20,0.00015425682067871094,12.484020471572876,"vote ( RF ( n_estimators = 10 , max_depth = 2 ) , DT ( max_depth = 50 , min_samples_split = 0.4 ) , RF ( n_estimators = 200 , max_depth = 5 ) , NB ( var_smoothing = 1e-7 ) )"
17,0,100,0.3653125000000001,0.07001689562406799,0.3125,1.0,0.3125,44,54.1,7,3.4,10,7.79,10.02,20,0.00015020370483398438,12.042838096618652,"vote ( RF ( n_estimators = 10 , max_depth = 2 ) , DT ( max_depth = 50 , min_samples_split = 0.4 ) , RF ( n_estimators = 200 , max_depth = 5 ) , NB ( var_smoothing = 1e-7 ) )"
