gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
0,6,14,0.5668316831683169,0.26187838063965196,0.3267326732673267,1.0,0.3928571428571429,36,50.857142857142854,3,1.8571428571428572,6,6.428571428571429,5.428571428571429,7,0.0,5.224440336227417,"ada ( LR ( C = 50 , max_iter = 5 ) ; voting = soft )"
1,0,20,0.3668316831683169,0.06503639272882925,0.29702970297029707,0.5544554455445545,0.3839285714285714,50,39.8,2,2.2,6,6.65,6.45,5,9.632110595703125e-05,1.0809342861175537,"bag ( LR ( C = 100 , max_iter = 3 ) )"
2,0,20,0.3415841584158416,0.032613206122773485,0.28712871287128716,0.4356435643564357,0.3705357142857143,50,42.0,2,2.15,6,6.05,5.55,5,7.748603820800781e-05,2.0189743041992188,"bag ( LR ( C = 10 , max_iter = 3 ) )"
3,0,20,0.33564356435643566,0.020979821881601073,0.28712871287128716,0.37623762376237624,0.3883928571428571,50,47.6,2,1.8,6,6.25,5.1,5,0.0001633167266845703,0.8825867176055908,"bag ( LR ( C = 10 , max_iter = 3 ) )"
4,0,20,0.36534653465346534,0.14784999697573525,0.28712871287128716,1.0,0.375,50,50.3,2,1.65,6,6.2,4.8,5,7.796287536621094e-05,0.7834908962249756,"bag ( LR ( C = 10 , max_iter = 3 ) )"
5,0,20,0.34702970297029706,0.03535013987216278,0.28712871287128716,0.40594059405940597,0.3839285714285714,50,50.5,2,2.05,6,6.35,5.45,5,9.608268737792969e-05,1.558586597442627,"bag ( LR ( C = 10 , max_iter = 3 ) )"
6,0,20,0.3524752475247525,0.029270783166523755,0.28712871287128716,0.4257425742574258,0.3794642857142857,50,49.65,2,1.95,6,6.35,5.55,5,0.00010824203491210938,2.306589126586914,"bag ( LR ( C = 10 , max_iter = 3 ) )"
7,0,20,0.3891089108910891,0.1541218789568149,0.28712871287128716,1.0,0.3883928571428571,50,50.05,2,2.35,6,7.05,7.55,5,8.034706115722656e-05,3.231532335281372,"bag ( LR ( C = 10 , max_iter = 3 ) )"
8,0,20,0.33861386138613864,0.03140346837060141,0.28712871287128716,0.4158415841584159,0.3883928571428571,50,52.15,2,2.9,6,7.65,9.1,5,8.463859558105469e-05,1.9801645278930664,"bag ( LR ( C = 10 , max_iter = 3 ) )"
9,0,20,0.3227722772277228,0.03915588105601027,0.26732673267326734,0.4257425742574258,0.40625,63,53.8,7,3.55,10,8.3,11.1,19,0.0002923011779785156,2.222569704055786,"vote ( XGB ( n_estimators = 10 , max_depth = 5 ) , NB ( var_smoothing = 1e-9 ) , GB ( n_estimators = 3 , learning_rate = 0.5 ) , XGB ( n_estimators = 3 , max_depth = 3 ) )"
10,0,20,0.34108910891089117,0.04531528604670996,0.26732673267326734,0.4455445544554455,0.40625,63,56.8,7,3.45,10,8.15,10.8,19,7.534027099609375e-05,3.359327793121338,"vote ( XGB ( n_estimators = 10 , max_depth = 5 ) , NB ( var_smoothing = 1e-9 ) , GB ( n_estimators = 3 , learning_rate = 0.5 ) , XGB ( n_estimators = 3 , max_depth = 3 ) )"
11,0,20,0.3717821782178218,0.0853138505333925,0.26732673267326734,0.6831683168316831,0.40625,63,63.15,7,2.2,10,7.0,7.15,19,8.463859558105469e-05,7.384728670120239,"vote ( XGB ( n_estimators = 10 , max_depth = 5 ) , NB ( var_smoothing = 1e-9 ) , GB ( n_estimators = 3 , learning_rate = 0.5 ) , XGB ( n_estimators = 3 , max_depth = 3 ) )"
12,0,20,0.3400990099009902,0.028399622790620718,0.26732673267326734,0.40594059405940597,0.40625,63,60.45,7,2.75,10,7.6,8.65,19,0.00012040138244628906,1.2928853034973145,"vote ( XGB ( n_estimators = 10 , max_depth = 5 ) , NB ( var_smoothing = 1e-9 ) , GB ( n_estimators = 3 , learning_rate = 0.5 ) , XGB ( n_estimators = 3 , max_depth = 3 ) )"
13,0,20,0.3594059405940594,0.05575409198139044,0.26732673267326734,0.49504950495049505,0.40625,63,59.5,7,2.55,10,7.2,7.8,19,8.654594421386719e-05,0.8696668148040771,"vote ( XGB ( n_estimators = 10 , max_depth = 5 ) , NB ( var_smoothing = 1e-9 ) , GB ( n_estimators = 3 , learning_rate = 0.5 ) , XGB ( n_estimators = 3 , max_depth = 3 ) )"
14,0,20,0.35000000000000003,0.029912626415882763,0.26732673267326734,0.4257425742574258,0.40625,63,58.6,7,2.3,10,7.25,7.3,19,8.797645568847656e-05,1.0263338088989258,"vote ( XGB ( n_estimators = 10 , max_depth = 5 ) , NB ( var_smoothing = 1e-9 ) , GB ( n_estimators = 3 , learning_rate = 0.5 ) , XGB ( n_estimators = 3 , max_depth = 3 ) )"
15,0,20,0.38019801980198026,0.14616624815864443,0.26732673267326734,1.0,0.40625,63,60.9,7,2.5,10,7.65,7.85,19,8.153915405273438e-05,0.8056361675262451,"vote ( XGB ( n_estimators = 10 , max_depth = 5 ) , NB ( var_smoothing = 1e-9 ) , GB ( n_estimators = 3 , learning_rate = 0.5 ) , XGB ( n_estimators = 3 , max_depth = 3 ) )"
16,0,20,0.37524752475247525,0.1458809341092072,0.26732673267326734,1.0,0.40625,63,64.3,7,2.4,10,7.35,7.25,19,8.988380432128906e-05,0.7763874530792236,"vote ( XGB ( n_estimators = 10 , max_depth = 5 ) , NB ( var_smoothing = 1e-9 ) , GB ( n_estimators = 3 , learning_rate = 0.5 ) , XGB ( n_estimators = 3 , max_depth = 3 ) )"
17,0,20,0.35891089108910895,0.06633478643800186,0.26732673267326734,0.6039603960396039,0.40625,63,62.75,7,2.65,10,7.3,7.95,19,8.940696716308594e-05,2.079807758331299,"vote ( XGB ( n_estimators = 10 , max_depth = 5 ) , NB ( var_smoothing = 1e-9 ) , GB ( n_estimators = 3 , learning_rate = 0.5 ) , XGB ( n_estimators = 3 , max_depth = 3 ) )"
