gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
0,2,2,0.7124999999999999,0.2880429655450728,0.4,1.0,0.37209302325581395,93,91.5,2,1.5,6,6.5,4.5,5,0.0,0.27319979667663574,"bag ( LR ( C = 50 , max_iter = 200 ) )"
1,0,4,0.525,0.11456439237389598,0.4,0.7,0.39534883720930236,93,93.0,2,1.75,6,6.25,5.0,5,3.337860107421875e-05,0.5627198219299316,"bag ( LR ( C = 50 , max_iter = 200 ) )"
2,0,4,0.4375,0.04145780987944249,0.4,0.5,0.39534883720930236,93,93.0,2,2.0,6,6.0,5.0,5,4.553794860839844e-05,1.7324037551879883,"bag ( LR ( C = 50 , max_iter = 200 ) )"
