model_string,cache_key,hit_count,accuracy,mae,training_time_sec
vote ( NB ( var_smoothing = 1e-7 ) ),vote ( NB ( var_smoothing = 1e-7 ) ),0,0.6294642857142857,0.3705357142857143,0.053419090996612795
"bag ( XGB ( n_estimators = 3 , max_depth = 3 ) ; n_estimators = 3 , max_samples = 0.1 )","bag ( XGB ( n_estimators = 3 , max_depth = 3 ) ; n_estimators = 3 , max_samples = 0.1 )",0,0.5892857142857143,0.4107142857142857,0.23239027399540646
bag ( KNN ( n_neighbors = 3 ) ; max_features = 0.5 ),bag ( KNN ( n_neighbors = 3 ) ; max_features = 0.5 ),0,0.6294642857142857,0.3705357142857143,0.1919337319995975
bag ( NB ( var_smoothing = 1e-9 ) ),bag ( NB ( var_smoothing = 1e-9 ) ),0,0.6383928571428571,0.3616071428571429,0.30503163999674143
"stack ( KNN ( n_neighbors = 2 ) ; final_estimator = NB , cv = 2 )","stack ( KNN ( n_neighbors = 2 ) ; final_estimator = NB , cv = 2 )",0,0.5357142857142857,0.4642857142857143,0.3072677769960137
"stack ( DT ( max_depth = 2 , criterion = entropy ) ; cv = 5 )","stack ( DT ( max_depth = 2 , criterion = entropy ) ; cv = 5 )",8,0.6607142857142857,0.3392857142857143,0.15713887300080387
"stack ( XGB ( n_estimators = 5 , max_depth = 2 ) )","stack ( XGB ( n_estimators = 5 , max_depth = 2 ) )",9,0.6607142857142857,0.3392857142857143,0.5770099720029975
stack ( KNN ( n_neighbors = 1 ) ),stack ( KNN ( n_neighbors = 1 ) ),0,0.53125,0.46875,0.15009062199533219
"bag ( SVM ( C = 50 , kernel = poly ) )","bag ( SVM ( C = 50 , kernel = poly ) )",0,0.5982142857142857,0.4017857142857143,0.5594874760063249
stack ( KNN ( n_neighbors = 3 ) ; cv = 5 ),stack ( KNN ( n_neighbors = 3 ) ; cv = 5 ),0,0.5714285714285714,0.4285714285714286,0.1922376969960169
vote ( KNN ( n_neighbors = 10 ) ),vote ( KNN ( n_neighbors = 10 ) ),0,0.59375,0.40625,0.00985631799994735
bag ( NB ( var_smoothing = 1e-8 ) ; n_estimators = 5 ),bag ( NB ( var_smoothing = 1e-8 ) ; n_estimators = 5 ),1,0.6294642857142857,0.3705357142857143,0.09012150199851021
ada ( NB ( var_smoothing = 1e-7 ) ; learning_rate = 50 ),ada ( NB ( var_smoothing = 1e-7 ) ; learning_rate = 50 ),0,0.6294642857142857,0.3705357142857143,0.042719436998595484
"ada ( GB ( n_estimators = 5 , learning_rate = 10 ) ; algorithm = SAMME )","ada ( GB ( n_estimators = 5 , learning_rate = 10 ) ; algorithm = SAMME )",0,0.59375,0.40625,0.21432418400218012
vote ( KNN ( n_neighbors = 3 ) ),vote ( KNN ( n_neighbors = 3 ) ),1,0.5714285714285714,0.4285714285714286,0.009423412004252896
"vote ( DT ( max_depth = 5 , min_samples_split = 0.4 ) )","vote ( DT ( max_depth = 5 , min_samples_split = 0.4 ) )",0,0.6607142857142857,0.3392857142857143,0.012517442999524064
"vote ( XGB ( n_estimators = 3 , max_depth = 2 ) )","vote ( XGB ( n_estimators = 3 , max_depth = 2 ) )",4,0.6339285714285714,0.3660714285714286,0.044879132001369726
"stack ( SVM ( C = 0.1 , kernel = poly ) )","stack ( SVM ( C = 0.1 , kernel = poly ) )",0,0.5803571428571429,0.4196428571428571,0.2750076970041846
stack ( SVM ( C = 10 ) ),stack ( SVM ( C = 10 ) ),2,0.6160714285714286,0.3839285714285714,0.37221657000191044
"ada ( GB ( n_estimators = 5 ) ; n_estimators = 10 , algorithm = SAMME )","ada ( GB ( n_estimators = 5 ) ; n_estimators = 10 , algorithm = SAMME )",1,0.6116071428571429,0.3883928571428571,1.0054438620063593
vote ( RF ( max_depth = 10 ) ),vote ( RF ( max_depth = 10 ) ),0,0.5892857142857143,0.4107142857142857,1.0227810840005986
stack ( NB ( var_smoothing = 1e-9 ) ),stack ( NB ( var_smoothing = 1e-9 ) ),0,0.6294642857142857,0.3705357142857143,0.22010920800676104
vote ( NB ( var_smoothing = 1e-7 ) ; voting = hard ),vote ( NB ( var_smoothing = 1e-7 ) ; voting = hard ),0,0.6294642857142857,0.3705357142857143,0.016549002000829205
vote ( XGB ( n_estimators = 3 ) ; voting = soft ),vote ( XGB ( n_estimators = 3 ) ; voting = soft ),4,0.6517857142857143,0.3482142857142857,0.03892458399786847
ada ( RF ( max_depth = 50 ) ; n_estimators = 50 ),ada ( RF ( max_depth = 50 ) ; n_estimators = 50 ),2,0.6294642857142857,0.3705357142857143,1.188964875000238
"vote ( GB ( n_estimators = 10 , learning_rate = 50 ) ; voting = hard )","vote ( GB ( n_estimators = 10 , learning_rate = 50 ) ; voting = hard )",0,0.38392857142857145,0.6160714285714286,0.14464666099956958
"bag ( RF ( n_estimators = 1 , max_depth = 50 ) )","bag ( RF ( n_estimators = 1 , max_depth = 50 ) )",0,0.6026785714285714,0.3973214285714286,0.14644740999938222
stack ( NB ( var_smoothing = 1e-9 ) ; cv = 5 ),stack ( NB ( var_smoothing = 1e-9 ) ; cv = 5 ),2,0.6294642857142857,0.3705357142857143,0.15124644699972123
"bag ( XGB ( n_estimators = 2 , max_depth = 50 ) )","bag ( XGB ( n_estimators = 2 , max_depth = 50 ) )",0,0.6294642857142857,0.3705357142857143,0.4612517039931845
vote ( RF ( max_depth = 5 ) ),vote ( RF ( max_depth = 5 ) ),0,0.6339285714285714,0.3660714285714286,0.583284061998711
"ada ( DT ( max_depth = 3 , criterion = entropy ) )","ada ( DT ( max_depth = 3 , criterion = entropy ) )",0,0.625,0.375,0.7869742629991379
