gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,invalid_count_min,invalid_count_avg,invalid_count_max,invalid_count_std,nodes_length_min,nodes_length_avg,nodes_length_max,nodes_length_std,structural_diversity,selection_time,generation_time
0,21,0.6504697986577181,0.31109634809106135,0.3087248322147651,1.0,0.38832997987927564,70,59.724137931034484,2,1.896551724137931,7,6.413793103448276,5.655172413793103,6,21,21.0,21,0.0,1,1.896551724137931,4,0.8169991950602302,0.58,0.0,45.77214193344116
1,0,0.37060402684563754,0.11640215520323428,0.2953020134228188,1.0,0.3762575452716298,30,64.18,2,1.86,7,6.56,5.64,6,0,0.0,0,0.0,1,1.86,4,0.9478224237370497,0.76,0.0003101825714111328,68.4260938167572
2,0,0.3624161073825503,0.10876625277789477,0.2953020134228188,1.0,0.38229376257545267,30,55.72,2,1.74,7,6.58,5.4,6,0,0.0,0,0.0,1,1.74,3,0.5646020812962715,0.7,0.0002799034118652344,19.57767677307129
3,0,0.36885906040268457,0.1626819057527563,0.28859060402684567,1.0,0.36418511066398396,51,63.88,2,2.02,7,6.9,6.24,6,0,0.0,0,0.0,1,2.02,5,0.9581018649775551,0.78,0.0002942085266113281,9.070693254470825
4,0,0.3845637583892617,0.16771139314721217,0.28859060402684567,1.0,0.3661971830985915,51,63.28,2,1.98,7,6.74,5.78,6,0,0.0,0,0.0,1,1.98,5,0.7690439333539869,0.8,0.0002732276916503906,6.342828750610352
5,0,0.3934228187919463,0.18811538205075287,0.28859060402684567,1.0,0.3702213279678068,51,64.24,2,2.06,7,6.7,5.86,6,0,0.0,0,0.0,1,2.06,5,0.7117096404046371,0.86,0.0003421306610107422,3.536574125289917
6,0,0.3401342281879195,0.10098777944719739,0.28859060402684567,1.0,0.39235412474849096,51,69.04,2,1.96,7,6.6,5.54,6,0,0.0,0,0.0,1,1.96,3,0.4932193286180591,0.74,0.00029969215393066406,5.80256199836731
7,0,0.3479194630872483,0.10060275081908103,0.28859060402684567,1.0,0.38832997987927564,51,65.98,2,2.12,7,6.78,6.08,6,0,0.0,0,0.0,1,2.12,5,0.7730142433410676,0.66,0.00027108192443847656,5.029212951660156
8,0,0.3736912751677853,0.16346348184212472,0.28859060402684567,1.0,0.3762575452716298,51,62.66,2,2.02,7,6.68,5.94,6,0,0.0,0,0.0,1,2.02,6,0.8687311883149013,0.78,0.00027632713317871094,8.422034740447998
9,0,0.411275167785235,0.20122161932501192,0.28859060402684567,1.0,0.38229376257545267,51,56.32,2,2.02,7,6.64,5.98,6,0,0.0,0,0.0,1,2.02,11,1.463710688487256,0.78,0.00027060508728027344,5.140895366668701
