gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,invalid_count_min,invalid_count_avg,invalid_count_max,invalid_count_std,nodes_length_min,nodes_length_avg,nodes_length_max,nodes_length_std,structural_diversity,selection_time,generation_time
10,0,0.3836241610738256,0.18590657330381752,0.28859060402684567,1.0,0.36820925553319916,51,52.6,2,1.76,7,6.52,5.34,6,0,0.0,0,0.0,1,1.76,4,0.6869037302955033,0.68,0.00028443336486816406,4.678598642349243
11,0,0.37020134228187923,0.14268879384083671,0.28859060402684567,1.0,0.3843058350100603,51,54.0,2,2.02,7,6.64,5.82,6,0,0.0,0,0.0,1,2.02,4,0.795138288575757,0.74,0.00027561187744140625,3.4116785526275635
12,0,0.3910067114093961,0.187313548573061,0.28859060402684567,1.0,0.36016096579476864,51,50.8,2,1.98,7,6.72,5.8,6,0,0.0,0,0.0,1,1.98,4,0.795138288575757,0.7,0.00026988983154296875,4.513159990310669
13,0,0.39234899328859063,0.18781497574523723,0.28859060402684567,1.0,0.35412474849094566,51,51.9,2,2.02,7,6.74,5.92,6,0,0.0,0,0.0,1,2.02,5,0.9365590516047865,0.62,0.0002846717834472656,5.350780248641968
14,0,0.3624161073825503,0.16363731909149112,0.28859060402684567,1.0,0.38832997987927564,51,51.12,2,2.28,7,6.68,6.2,6,0,0.0,0,0.0,1,2.28,4,1.050558646334299,0.66,0.00028514862060546875,1.9031832218170166
15,0,0.39140939597315444,0.204804417264646,0.28859060402684567,1.0,0.38229376257545267,51,52.9,2,2.5,7,6.72,6.56,6,0,0.0,0,0.0,1,2.5,4,1.0546302185881,0.78,0.0002827644348144531,4.330356121063232
16,0,0.38026845637583895,0.1872259975626408,0.2751677852348994,1.0,0.3702213279678068,59,53.48,2,2.42,7,6.66,6.5,6,0,0.0,0,0.0,1,2.42,4,1.1082252773268269,0.74,0.0002758502960205078,6.947371482849121
17,0,0.3859060402684563,0.1856005048693953,0.2751677852348994,1.0,0.36820925553319916,59,54.42,2,2.38,7,6.72,6.52,6,0,0.0,0,0.0,1,2.38,4,0.9452350965527582,0.72,0.00027561187744140625,4.892606496810913
18,0,0.4022818791946309,0.20271749588009116,0.2751677852348994,1.0,0.3802816901408451,59,53.5,2,2.26,7,6.72,6.22,6,0,0.0,0,0.0,1,2.26,4,0.9858177999477782,0.74,0.0002734661102294922,5.045461654663086
19,0,0.4006711409395973,0.20378937964538218,0.2751677852348994,1.0,0.37826961770623746,59,54.04,2,2.28,7,6.74,6.46,6,0,0.0,0,0.0,1,2.28,6,1.1073041357186344,0.66,0.0002846717834472656,5.219336032867432
20,0,0.39489932885906043,0.20365720666410028,0.2751677852348994,1.0,0.38229376257545267,59,55.32,2,2.36,7,6.72,6.48,6,0,0.0,0,0.0,1,2.36,5,1.1021315155420521,0.78,0.000274658203125,12.28178858757019
21,0,0.40375838926174495,0.20286831086133664,0.2751677852348994,1.0,0.3802816901408451,59,56.98,2,2.52,7,6.86,6.96,6,0,0.0,0,0.0,1,2.52,5,1.0349011586442762,0.9,0.00029730796813964844,3.4654839038848877
22,0,0.3940939597315436,0.20953806915048698,0.2751677852348994,1.0,0.3802816901408451,59,57.24,2,2.54,7,6.96,6.94,6,0,0.0,0,0.0,1,2.54,5,0.9304376850247875,0.76,0.00029349327087402344,4.948096513748169
23,0,0.3483221476510067,0.13681566501140813,0.2751677852348994,1.0,0.386317907444668,59,56.22,2,2.46,7,6.94,6.72,6,0,0.0,0,0.0,1,2.46,4,0.7059513771774764,0.76,0.00024628639221191406,1.7213265895843506
24,0,0.3422818791946309,0.10237484545325284,0.2751677852348994,1.0,0.3762575452716298,59,56.96,2,2.32,7,6.84,6.52,6,0,0.0,0,0.0,1,2.32,4,0.8191583535332257,0.74,0.00027370452880859375,11.217905759811401
25,0,0.3586577181208053,0.1381191747935659,0.2751677852348994,1.0,0.3702213279678068,59,57.26,2,2.34,7,6.8,6.4,6,0,0.0,0,0.0,1,2.34,4,0.7174216873994125,0.6,0.0002827644348144531,30.223931550979614
26,0,0.37570469798657713,0.16550662156512566,0.2684563758389261,1.0,0.37826961770623746,58,58.54,4,2.44,7,6.98,6.86,9,0,0.0,0,0.0,1,2.44,7,1.0909647481163876,0.7,0.0002903938293457031,18.459232568740845
27,0,0.392751677852349,0.2090310018431324,0.2684563758389261,1.0,0.37826961770623746,58,58.72,4,2.92,7,6.88,7.36,9,0,0.0,0,0.0,1,2.92,5,1.1036118809044553,0.82,0.0002846717834472656,14.71222186088562
28,0,0.3480536912751678,0.14864830973000073,0.2684563758389261,1.0,0.37826961770623746,58,60.46,4,3.44,7,6.88,8.18,9,0,0.0,0,0.0,1,3.44,4,0.9071147352221454,0.8,0.0002772808074951172,6.293006420135498
29,0,0.36671140939597313,0.21624806792587073,0.2684563758389261,1.0,0.37826961770623746,58,60.56,4,3.82,7,7.02,8.92,9,0,0.0,0,0.0,2,3.82,5,0.5955618167335952,0.66,0.0002727508544921875,13.94994592666626
30,0,0.38013422818791953,0.19527668831858974,0.2684563758389261,1.0,0.37826961770623746,58,60.14,4,3.58,7,6.82,8.4,9,0,0.0,0,0.0,2,3.58,4,0.7583548251421142,0.74,0.0002887248992919922,28.447601556777954
31,0,0.41530201342281875,0.24328887757446627,0.2684563758389261,1.0,0.37826961770623746,58,62.44,4,3.7,7,6.94,8.58,9,0,0.0,0,0.0,2,3.7,4,0.6776309271789385,0.78,0.00028634071350097656,19.51098942756653
32,0,0.405503355704698,0.246187414121727,0.2684563758389261,1.0,0.37826961770623746,58,62.52,4,3.66,7,6.9,8.54,9,0,0.0,0,0.0,2,3.66,4,0.7174216873994125,0.7,0.00034546852111816406,26.056212186813354
33,0,0.43530201342281877,0.27014572487937033,0.2684563758389261,1.0,0.37826961770623746,58,62.88,4,3.64,7,6.84,8.46,9,0,0.0,0,0.0,2,3.64,4,0.7494215456345144,0.72,0.00028443336486816406,57.86091208457947
34,0,0.3540939597315436,0.1741377827723104,0.2684563758389261,1.0,0.37826961770623746,58,64.1,4,3.74,7,6.88,8.6,9,0,0.0,0,0.0,2,3.74,4,0.6642473107178669,0.6,0.0002751350402832031,8.381412029266357
35,0,0.44093959731543625,0.26734080291864254,0.2684563758389261,1.0,0.37826961770623746,58,64.74,4,3.48,7,6.84,8.34,9,0,0.0,0,0.0,2,3.48,4,0.8141603913585718,0.74,0.00028896331787109375,11.041579008102417
36,0,0.37234899328859067,0.19428453332237575,0.2684563758389261,1.0,0.37826961770623746,58,65.46,4,3.62,7,6.86,8.42,9,0,0.0,0,0.0,2,3.62,4,0.752953368748825,0.74,0.0002808570861816406,9.519147157669067
37,0,0.3446979865771812,0.17106991551636133,0.2684563758389261,1.0,0.37826961770623746,58,63.04,4,3.7,7,6.88,8.52,9,0,0.0,0,0.0,2,3.7,4,0.614451804788759,0.76,0.00027441978454589844,17.167761087417603
38,0,0.32617449664429526,0.1104674337372343,0.2684563758389261,1.0,0.37826961770623746,58,63.68,4,3.68,7,6.84,8.5,9,0,0.0,0,0.0,2,3.68,4,0.7406560798180412,0.78,0.00027370452880859375,51.200867891311646
39,0,0.37852348993288587,0.2126659154306693,0.2684563758389261,1.0,0.37826961770623746,58,66.36,4,3.64,7,6.86,8.48,9,0,0.0,0,0.0,1,3.64,5,0.7761758689832071,0.8,0.00027680397033691406,12.55564284324646
40,0,0.4131543624161074,0.26011940587078775,0.2684563758389261,1.0,0.37826961770623746,58,64.74,4,3.74,7,6.86,8.58,9,0,0.0,0,0.0,2,3.74,4,0.6327781311528601,0.82,0.0002720355987548828,14.209846258163452
41,0,0.35758389261744966,0.19545320377752287,0.2684563758389261,1.0,0.37826961770623746,58,67.04,4,3.8,7,6.94,8.74,9,0,0.0,0,0.0,2,3.8,4,0.4948716593053935,0.74,0.00028586387634277344,8.928860902786255
42,0,0.43275167785234897,0.2576070789862389,0.2684563758389261,1.0,0.37826961770623746,58,67.84,4,3.46,7,6.74,8.14,9,0,0.0,0,0.0,2,3.46,4,0.862128358263692,0.7,0.0002846717834472656,13.872214317321777
43,0,0.3402684563758389,0.14801206616692814,0.2684563758389261,1.0,0.37826961770623746,58,63.76,4,3.78,7,6.9,8.72,9,0,0.0,0,0.0,2,3.78,4,0.581693516328638,0.74,0.00028204917907714844,30.131716012954712
44,0,0.35758389261744966,0.19381007207716738,0.2684563758389261,1.0,0.37826961770623746,58,63.78,4,3.7,7,6.92,8.66,9,0,0.0,0,0.0,2,3.7,4,0.6468132241526726,0.78,0.00028252601623535156,9.797316074371338
45,0,0.41825503355704696,0.2603280872878387,0.2684563758389261,1.0,0.37826961770623746,58,65.56,4,3.66,7,6.86,8.5,9,0,0.0,0,0.0,2,3.66,4,0.7174216873994125,0.78,0.0002770423889160156,45.7215735912323
46,0,0.3990604026845637,0.2300798395766425,0.2684563758389261,1.0,0.37826961770623746,58,66.3,4,3.7,7,6.86,8.54,9,0,0.0,0,0.0,2,3.7,4,0.6468132241526726,0.8,0.0002803802490234375,93.88119339942932
47,0,0.40872483221476513,0.228626700125882,0.2684563758389261,1.0,0.37826961770623746,58,66.3,4,3.64,7,6.86,8.44,9,0,0.0,0,0.0,2,3.64,4,0.7216760537322908,0.84,0.0002906322479248047,16.574100494384766
48,0,0.38483221476510066,0.21321001589486457,0.2684563758389261,1.0,0.37826961770623746,58,66.04,4,3.7,7,6.94,8.64,9,0,0.0,0,0.0,2,3.7,4,0.6468132241526726,0.82,0.00026035308837890625,21.207804203033447
49,0,0.34416107382550337,0.14703985781888174,0.2684563758389261,1.0,0.37826961770623746,58,64.8,4,3.72,7,6.94,8.68,9,0,0.0,0,0.0,2,3.72,4,0.6712765785411846,0.76,0.0002739429473876953,8.573132038116455
50,0,0.45798657718120805,0.2770229165971393,0.2684563758389261,1.0,0.37826961770623746,58,67.1,4,3.5,7,6.8,8.26,9,0,0.0,0,0.0,2,3.5,4,0.8144110179279557,0.74,0.00027751922607421875,57.52435040473938
