gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
0,8,12,0.7013392857142857,0.300297139730138,0.3616071428571429,1.0,0.33601609657947684,43,66.33333333333333,1,2.0,7,6.416666666666667,5.666666666666667,5,0.0,17.93000102043152,stack ( RF ( max_depth = 3 ) )
1,0,20,0.4669642857142858,0.22437377422779273,0.3526785714285714,1.0,0.35412474849094566,43,54.85,3,1.9,7,6.8,5.8,7,0.0001838207244873047,9.956730842590332,"bag ( DT ( max_depth = 5 , criterion = gini , min_samples_split = 2 ) )"
2,0,20,0.3779017857142858,0.027996268599309683,0.3392857142857143,0.4508928571428571,0.3762575452716298,51,48.75,4,2.05,8,7.1,6.1,9,0.0001888275146484375,1.676316738128662,"vote ( DT ( max_depth = 5 , criterion = gini , min_samples_split = 5 ) ; voting = soft )"
3,0,20,0.45647321428571425,0.2287478175079893,0.3392857142857143,1.0,0.3762575452716298,51,49.5,4,2.45,8,7.2,6.95,9,0.0004100799560546875,0.7741491794586182,"vote ( DT ( max_depth = 5 , criterion = gini , min_samples_split = 5 ) ; voting = soft )"
4,0,20,0.3955357142857142,0.14223076965528483,0.3392857142857143,1.0,0.3762575452716298,51,45.4,4,2.8,8,7.25,7.05,9,0.00027179718017578125,2.7845382690429688,"vote ( DT ( max_depth = 5 , criterion = gini , min_samples_split = 5 ) ; voting = soft )"
5,0,20,0.4368303571428571,0.19865456952776142,0.3392857142857143,1.0,0.3762575452716298,51,44.7,4,3.1,8,7.5,7.9,9,0.00022482872009277344,0.4400980472564697,"vote ( DT ( max_depth = 5 , criterion = gini , min_samples_split = 5 ) ; voting = soft )"
6,0,20,0.4993303571428571,0.25854063842798486,0.3392857142857143,1.0,0.3762575452716298,51,44.95,4,3.3,8,7.4,7.9,9,0.00019407272338867188,0.18644309043884277,"vote ( DT ( max_depth = 5 , criterion = gini , min_samples_split = 5 ) ; voting = soft )"
7,0,20,0.4345982142857142,0.19244269186545765,0.3392857142857143,1.0,0.3762575452716298,51,49.1,4,3.2,8,7.4,7.6,9,0.0004661083221435547,1.019507884979248,"vote ( DT ( max_depth = 5 , criterion = gini , min_samples_split = 5 ) ; voting = soft )"
8,0,20,0.3881696428571429,0.14244132424055547,0.3392857142857143,1.0,0.3762575452716298,51,54.05,4,3.65,8,7.85,8.6,9,0.00031185150146484375,0.2744140625,"vote ( DT ( max_depth = 5 , criterion = gini , min_samples_split = 5 ) ; voting = soft )"
9,0,20,0.35848214285714286,0.02425138724203762,0.3392857142857143,0.4151785714285714,0.3762575452716298,51,57.0,4,3.6,8,7.7,8.4,9,0.00019502639770507812,0.5898361206054688,"vote ( DT ( max_depth = 5 , criterion = gini , min_samples_split = 5 ) ; voting = soft )"
10,0,20,0.4196428571428571,0.19463466562055304,0.3392857142857143,1.0,0.3762575452716298,51,56.85,4,3.45,8,7.8,8.35,9,0.0001952648162841797,0.28220605850219727,"vote ( DT ( max_depth = 5 , criterion = gini , min_samples_split = 5 ) ; voting = soft )"
