gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
0,3,17,0.5252475247524753,0.2398508465389122,0.3366336633663366,1.0,0.3660714285714286,72,55.23529411764706,1,1.7647058823529411,7,6.588235294117647,5.529411764705882,4,0.0,1.5710489749908447,stack ( NB ( var_smoothing = 1e-6 ) )
1,0,20,0.3945544554455446,0.06804184864725926,0.3366336633663366,0.6336633663366337,0.3660714285714286,72,51.0,1,1.5,7,6.85,5.1,4,9.942054748535156e-05,2.250303268432617,stack ( NB ( var_smoothing = 1e-6 ) )
2,0,20,0.3717821782178218,0.04804531321930319,0.3366336633663366,0.49504950495049505,0.3660714285714286,72,62.15,1,1.3,7,7.15,4.9,4,0.00010728836059570312,0.7410945892333984,stack ( NB ( var_smoothing = 1e-6 ) )
3,0,20,0.3915841584158416,0.09421430705241811,0.3366336633663366,0.6435643564356436,0.3660714285714286,72,64.3,1,1.5,7,7.25,5.5,4,8.273124694824219e-05,1.050205945968628,stack ( NB ( var_smoothing = 1e-6 ) )
4,0,20,0.3564356435643565,0.03821833478340354,0.3366336633663366,0.4752475247524752,0.3660714285714286,72,70.45,1,1.25,7,7.2,5.0,4,0.0003483295440673828,0.6361715793609619,stack ( NB ( var_smoothing = 1e-6 ) )
5,0,20,0.3544554455445545,0.03645931215746926,0.3366336633663366,0.4653465346534653,0.3660714285714286,72,73.6,1,1.7,7,7.6,6.45,4,7.772445678710938e-05,1.0740916728973389,stack ( NB ( var_smoothing = 1e-6 ) )
6,0,20,0.36782178217821787,0.04375240691069883,0.3366336633663366,0.4653465346534653,0.3660714285714286,72,74.0,1,1.2,7,7.0,4.55,4,7.653236389160156e-05,0.655543327331543,stack ( NB ( var_smoothing = 1e-6 ) )
7,0,20,0.3643564356435644,0.04113381797592276,0.3366336633663366,0.4554455445544554,0.3660714285714286,72,74.6,1,1.15,7,7.1,4.65,4,8.797645568847656e-05,0.47250962257385254,stack ( NB ( var_smoothing = 1e-6 ) )
8,0,20,0.36336633663366336,0.06795715333028603,0.3366336633663366,0.6435643564356436,0.3660714285714286,72,74.4,1,1.3,7,7.05,4.7,4,7.319450378417969e-05,0.3937075138092041,stack ( NB ( var_smoothing = 1e-6 ) )
9,0,20,0.3648514851485149,0.039140230597310845,0.3366336633663366,0.4455445544554455,0.3660714285714286,72,73.7,1,1.2,7,7.05,4.6,4,0.00010514259338378906,0.9670219421386719,stack ( NB ( var_smoothing = 1e-6 ) )
10,0,20,0.3623762376237624,0.038141307493580655,0.3366336633663366,0.48514851485148514,0.3660714285714286,72,73.65,1,1.3,7,7.05,4.75,4,0.0001163482666015625,5.639266014099121,stack ( NB ( var_smoothing = 1e-6 ) )
11,0,20,0.354950495049505,0.028742729439593658,0.3366336633663366,0.4158415841584159,0.3660714285714286,72,73.1,1,1.55,7,7.1,5.25,4,8.511543273925781e-05,0.4199554920196533,stack ( NB ( var_smoothing = 1e-6 ) )
12,0,20,0.3430693069306931,0.016940533299275928,0.3366336633663366,0.40594059405940597,0.3660714285714286,72,73.6,1,1.65,7,7.1,5.45,4,7.152557373046875e-05,0.18268966674804688,stack ( NB ( var_smoothing = 1e-6 ) )
13,0,20,0.350990099009901,0.02755874388062731,0.3366336633663366,0.4356435643564357,0.3660714285714286,72,73.3,1,1.5,7,7.0,5.05,4,7.224082946777344e-05,0.3504650592803955,stack ( NB ( var_smoothing = 1e-6 ) )
14,0,20,0.36138613861386143,0.03815415617425288,0.3366336633663366,0.4455445544554455,0.3660714285714286,72,74.2,1,1.55,7,7.1,5.35,4,8.058547973632812e-05,0.42311596870422363,stack ( NB ( var_smoothing = 1e-6 ) )
15,0,20,0.3628712871287129,0.040975627617178795,0.3366336633663366,0.48514851485148514,0.3660714285714286,72,75.1,1,1.45,7,7.0,5.05,4,0.00035572052001953125,0.21870017051696777,stack ( NB ( var_smoothing = 1e-6 ) )
16,0,20,0.34702970297029706,0.026097139313063792,0.3366336633663366,0.4257425742574258,0.3660714285714286,72,75.8,1,1.35,7,7.0,4.85,4,7.414817810058594e-05,1.1689751148223877,stack ( NB ( var_smoothing = 1e-6 ) )
17,0,20,0.35940594059405945,0.037322924405882724,0.3366336633663366,0.4455445544554455,0.3660714285714286,72,75.55,1,1.8,7,7.25,6.05,4,7.510185241699219e-05,0.7095885276794434,stack ( NB ( var_smoothing = 1e-6 ) )
18,0,20,0.3455445544554456,0.02952089409084272,0.3366336633663366,0.4653465346534653,0.3660714285714286,72,75.8,1,1.45,7,7.05,5.05,4,7.534027099609375e-05,0.20893073081970215,stack ( NB ( var_smoothing = 1e-6 ) )
19,0,20,0.34900990099009904,0.026728089082560597,0.3366336633663366,0.4257425742574258,0.3660714285714286,72,75.35,1,1.25,7,6.9,4.45,4,7.414817810058594e-05,0.2997465133666992,stack ( NB ( var_smoothing = 1e-6 ) )
20,0,20,0.3797029702970297,0.09257690471144711,0.3366336633663366,0.6435643564356436,0.3660714285714286,72,75.55,1,1.5,7,7.05,5.15,4,9.918212890625e-05,0.9258151054382324,stack ( NB ( var_smoothing = 1e-6 ) )
