cmd,created_at,fit_points_id,fitness,hit_count,points_id,source
bag ( KNN ( n_neighbors = 50 ) ; voting = soft ),2026-02-17T02:20:02,"(129867487677296, 129867487679312)","(0.47058823529411764,)",0,"(129867487679120, 129867487680464)",gui
"bag ( SVM ( C = 50 , kernel = poly ) )",2026-02-17T02:20:02,"(129867487677296, 129867487679312)","(0.4117647058823529,)",3,"(129867487679120, 129867487680464)",gui
stack ( RF ( max_depth = 5 ) ),2026-02-17T02:20:02,"(129867487677296, 129867487679312)","(0.4117647058823529,)",1,"(129867487679120, 129867487680464)",gui
stack ( XGB ( max_depth = 5 ) ),2026-02-17T02:20:03,"(129867487677296, 129867487679312)","(0.4117647058823529,)",0,"(129867487679120, 129867487680464)",gui
"stack ( NB ( var_smoothing = 1e-8 ) , SVM ( C = 0.1 ) , NB ( var_smoothing = 1e-9 ) , KNN ( n_neighbors = 2 ) , LR ( penalty = l2 ) )",2026-02-17T02:20:04,"(129867487677296, 129867487679312)","(0.38235294117647056,)",1,"(129867487679120, 129867487680464)",gui
stack ( LR ( penalty = l2 ) ),2026-02-17T02:20:04,"(129867487677296, 129867487679312)","(0.38235294117647056,)",0,"(129867487679120, 129867487680464)",gui
stack ( XGB ( max_depth = 1 ) ),2026-02-17T02:20:05,"(129867487677296, 129867487679312)","(0.4411764705882353,)",0,"(129867487679120, 129867487680464)",gui
"bag ( LR ( C = 0.1 , max_iter = 2 ) )",2026-02-17T02:20:05,"(129867487682768, 129867487677584)","(0.47058823529411764,)",1,"(129867487676912, 129867469698800)",gui
stack ( KNN ( n_neighbors = 2 ) ),2026-02-17T02:20:05,"(129867487682768, 129867487677584)","(0.47058823529411764,)",1,"(129867487676912, 129867469698800)",gui
stack ( KNN ( n_neighbors = 1 ) ),2026-02-17T02:20:05,"(129867487682768, 129867487677584)","(0.47058823529411764,)",0,"(129867487676912, 129867469698800)",gui
bag ( LR ( penalty = l1 ) ),2026-02-17T02:20:05,"(129867487682768, 129867487677584)","(0.47058823529411764,)",0,"(129867487676912, 129867469698800)",gui
stack ( RF ( n_estimators = 1 ) ),2026-02-17T02:20:05,"(129867487682768, 129867487677584)","(0.4411764705882353,)",3,"(129867487676912, 129867469698800)",gui
"stack ( RF ( n_estimators = 1 ) , XGB ( n_estimators = 10 ) )",2026-02-17T02:20:05,"(129867487682768, 129867487677584)","(0.47058823529411764,)",0,"(129867487676912, 129867469698800)",gui
