gen,train_min_mean,train_min_std,train_avg_mean,train_avg_std,train_max_mean,train_max_std,test_mean,test_std,invalid_mean
0,0.08999999999999997,0.0377777777777778,0.5518888888888889,0.04455555555555562,1.0,0.0,0.10499999999999998,0.055499999999999994,2.0
1,0.08999999999999997,0.0377777777777778,0.1415555555555555,0.08933333333333333,0.28388888888888886,0.2316666666666667,0.10499999999999998,0.055499999999999994,0.0
2,0.04777777777777781,0.010000000000000009,0.12399999999999997,0.07466666666666669,0.28388888888888886,0.2316666666666667,0.05275000000000002,0.022749999999999992,0.0
3,0.03388888888888891,0.023888888888888904,0.1027777777777778,0.044999999999999984,0.28444444444444444,0.22666666666666663,0.04625000000000001,0.029249999999999998,0.0
4,0.020000000000000018,0.010000000000000009,0.033777777777777795,0.008666666666666668,0.07166666666666671,0.013888888888888895,0.03025,0.013249999999999984,0.0
5,0.020000000000000018,0.010000000000000009,0.041888888888888885,0.031888888888888876,0.07833333333333331,0.0683333333333333,0.03025,0.013249999999999984,0.0
