gen,train_min_mean,train_min_std,train_avg_mean,train_avg_std,train_max_mean,train_max_std,test_mean,test_std,invalid_mean
0,0.0,0.0,0.43933333333333335,0.06655490632219051,1.0,0.0,0.11111111111111112,0.10102356812582117,13.666666666666666
1,0.0,0.0,0.12533333333333332,0.015520595635763756,1.0,0.0,0.07407407407407407,0.055431961285539864,0.0
2,0.0,0.0,0.07666666666666666,0.026549743668986502,1.0,0.0,0.11111111111111109,0.12701057925542406,0.0
3,0.0,0.0,0.041666666666666664,0.023098821518760554,0.75,0.3535533905932738,0.0666666666666667,0.04800548665487306,0.0
4,0.0,0.0,0.06933333333333334,0.04011926663780828,0.8833333333333333,0.10274023338281628,0.037037037037037014,0.027715980642769925,0.0
5,0.0,0.0,0.066,0.0534852004452322,0.7833333333333333,0.3064129385141706,0.05925925925925927,0.045662325947918365,0.0
6,0.0,0.0,0.07566666666666667,0.04549236810230432,0.8333333333333334,0.16996731711975951,0.05185185185185185,0.03777051491550211,0.0
7,0.0,0.0,0.08233333333333333,0.05317476427362471,0.7833333333333333,0.3064129385141706,0.06666666666666665,0.05443310539518172,0.0
8,0.0,0.0,0.068,0.0443245605355165,0.7999999999999999,0.282842712474619,0.05185185185185185,0.03777051491550212,0.0
9,0.0,0.0,0.067,0.039505273909525886,1.0,0.0,0.029629629629629634,0.041902624070313935,0.0
10,0.0,0.0,0.05866666666666667,0.035349053106915836,0.75,0.3535533905932738,0.04444444444444443,0.03142696805273544,0.0
