cmd,created_at,fit_points_id,fitness,hit_count,points_id,source
bag ( SVM ( kernel = linear ) ),2026-02-17T02:14:51,"(123663905773232, 123663905774768)","(0.0,)",1,"(123663905773808, 123663905778128)",gui
bag ( RF ( n_estimators = 50 ) ),2026-02-17T02:15:26,"(123663858089584, 123663858086224)","(0.0,)",0,"(123663858085072, 123663858086896)",gui
bag ( XGB ( n_estimators = 2 ) ),2026-02-17T02:15:26,"(123663858086992, 123663858088528)","(0.050000000000000044,)",0,"(123663858088048, 123663858088720)",gui
