gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
0,2,2,0.703125,0.2971434071294704,0.3883928571428571,1.0,0.3883928571428571,93,91.5,2,1.5,6,6.5,4.5,5,0.0,0.1725156307220459,"bag ( LR ( C = 50 , max_iter = 200 ) )"
1,0,4,0.3828125,0.007318569781587029,0.3705357142857143,0.3883928571428571,0.3705357142857143,94,93.0,2,1.75,6,6.25,5.0,5,1.8358230590820312e-05,0.08364558219909668,"bag ( LR ( C = 0.1 , max_iter = 2 ) )"
2,0,4,0.3861607142857143,0.01357759493370139,0.3705357142857143,0.4017857142857143,0.3705357142857143,94,94.0,2,1.75,6,6.25,5.25,5,1.8358230590820312e-05,0.054145097732543945,"bag ( LR ( C = 0.1 , max_iter = 2 ) )"
