gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
0,2,2,0.736842105263158,0.2631578947368421,0.4736842105263158,1.0,0.4651162790697675,93,91.5,2,1.5,6,6.5,4.5,5,0.0,0.30358242988586426,"bag ( LR ( C = 50 , max_iter = 200 ) )"
1,0,4,0.6315789473684211,0.21379048433252526,0.4736842105263158,1.0,0.4651162790697675,93,91.5,2,1.25,6,6.5,4.25,5,3.504753112792969e-05,0.32724642753601074,"bag ( LR ( C = 50 , max_iter = 200 ) )"
2,0,4,0.4605263157894738,0.05735393346764046,0.368421052631579,0.5263157894736843,0.4651162790697675,96,93.0,2,2.0,6,6.0,5.0,5,3.933906555175781e-05,0.6674137115478516,"bag ( LR ( C = 50 , max_iter = 200 ) )"
