gen,invalid,valid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,best_phenotype
0,1,4,0.6303571428571428,0.3032482523461931,0.3526785714285714,1.0,0.41649899396378265,88,65.5,2,1.75,6,6.25,5.0,5,0.0,2.9815518856048584,"bag ( SVM ( C = 50 , kernel = poly ) )"
1,0,5,0.3580357142857143,0.01071428571428572,0.3526785714285714,0.3794642857142857,0.4245472837022133,88,88.0,2,1.8,6,6.0,4.6,5,0.0001239776611328125,1.4241790771484375,"bag ( SVM ( C = 50 , kernel = poly ) )"
2,0,5,0.36339285714285713,0.017313142347915485,0.3526785714285714,0.3973214285714286,0.4004024144869215,88,88.0,2,1.8,6,6.0,4.6,5,5.412101745605469e-05,3.4021592140197754,"bag ( SVM ( C = 50 , kernel = poly ) )"
