gen,train_min_mean,train_min_std,train_avg_mean,train_avg_std,train_max_mean,train_max_std,test_mean,test_std,invalid_mean
0,0.3392857142857143,0.0,0.5980654761904762,0.06979166666666664,1.0,0.0,0.37726358148893363,0.0010060362173038295,8.5
1,0.32589285714285715,0.01339285714285715,0.38697916666666654,0.0054315476190476,1.0,0.0,0.3672032193158954,0.01106639839034207,0.0
2,0.3236607142857143,0.011160714285714302,0.3823660714285714,0.018377976190476236,0.7477678571428572,0.25223214285714285,0.3843058350100604,0.00804828973843058,0.0
3,0.3236607142857143,0.011160714285714302,0.37641369047619044,0.015104166666666696,0.7544642857142857,0.2455357142857143,0.358148893360161,0.01810865191146882,0.0
4,0.3236607142857143,0.011160714285714302,0.37581845238095235,0.019122023809523853,0.7388392857142857,0.2611607142857143,0.35311871227364183,0.01911468812877265,0.0
5,0.3169642857142857,0.004464285714285698,0.3648809523809523,0.01383928571428572,0.7276785714285714,0.27232142857142855,0.3722334004024145,0.012072434607645843,0.0
