model_string,cache_key,hit_count,accuracy,mae,training_time_sec
vote ( NB ( var_smoothing = 1e-7 ) ),vote ( NB ( var_smoothing = 1e-7 ) ),1,0.6294642857142857,0.3705357142857143,0.12169430899666622
bag ( KNN ( n_neighbors = 3 ) ; max_features = 0.5 ),bag ( KNN ( n_neighbors = 3 ) ; max_features = 0.5 ),0,0.6026785714285714,0.3973214285714286,0.21953107800072758
"bag ( XGB ( n_estimators = 3 , max_depth = 3 ) ; n_estimators = 3 , max_samples = 0.1 )","bag ( XGB ( n_estimators = 3 , max_depth = 3 ) ; n_estimators = 3 , max_samples = 0.1 )",0,0.6116071428571429,0.3883928571428571,0.3145909630038659
bag ( NB ( var_smoothing = 1e-9 ) ),bag ( NB ( var_smoothing = 1e-9 ) ),1,0.6339285714285714,0.3660714285714286,0.34272280799632426
"stack ( KNN ( n_neighbors = 2 ) ; final_estimator = NB , cv = 2 )","stack ( KNN ( n_neighbors = 2 ) ; final_estimator = NB , cv = 2 )",1,0.625,0.375,0.39402672400319716
"stack ( DT ( max_depth = 2 , criterion = entropy ) ; cv = 5 )","stack ( DT ( max_depth = 2 , criterion = entropy ) ; cv = 5 )",14,0.6607142857142857,0.3392857142857143,0.11630825500469655
"stack ( XGB ( n_estimators = 5 , max_depth = 2 ) )","stack ( XGB ( n_estimators = 5 , max_depth = 2 ) )",2,0.65625,0.34375,0.5663520390007761
stack ( KNN ( n_neighbors = 1 ) ),stack ( KNN ( n_neighbors = 1 ) ),0,0.5669642857142857,0.4330357142857143,0.144256168998254
stack ( KNN ( n_neighbors = 3 ) ; cv = 5 ),stack ( KNN ( n_neighbors = 3 ) ; cv = 5 ),0,0.5892857142857143,0.4107142857142857,0.1538186269972357
vote ( KNN ( n_neighbors = 10 ) ),vote ( KNN ( n_neighbors = 10 ) ),0,0.6160714285714286,0.3839285714285714,0.010613664002448786
"stack ( LR ( C = 0.5 , max_iter = 5 ) , LR ( penalty = elasticnet ) )","stack ( LR ( C = 0.5 , max_iter = 5 ) , LR ( penalty = elasticnet ) )",0,0.5892857142857143,0.4107142857142857,0.30235818099754397
bag ( NB ( var_smoothing = 1e-8 ) ; n_estimators = 5 ),bag ( NB ( var_smoothing = 1e-8 ) ; n_estimators = 5 ),1,0.6205357142857143,0.3794642857142857,0.09492100799980108
"bag ( SVM ( C = 50 , kernel = poly ) )","bag ( SVM ( C = 50 , kernel = poly ) )",1,0.6473214285714286,0.3526785714285714,0.8587198110035388
"ada ( GB ( n_estimators = 5 ) ; n_estimators = 10 , algorithm = SAMME )","ada ( GB ( n_estimators = 5 ) ; n_estimators = 10 , algorithm = SAMME )",1,0.65625,0.34375,0.9202752330020303
vote ( RF ( max_depth = 10 ) ),vote ( RF ( max_depth = 10 ) ),3,0.625,0.375,0.8955029050048324
ada ( RF ( max_depth = 50 ) ; n_estimators = 50 ),ada ( RF ( max_depth = 50 ) ; n_estimators = 50 ),0,0.6071428571428571,0.3928571428571429,0.9791452119970927
stack ( SVM ( C = 10 ) ),stack ( SVM ( C = 10 ) ),1,0.6339285714285714,0.3660714285714286,0.38237838199711405
"bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )","bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )",0,0.5625,0.4375,0.5061028089985484
stack ( RF ( max_depth = 5 ) ),stack ( RF ( max_depth = 5 ) ),0,0.6383928571428571,0.3616071428571429,1.7653254359975108
ada ( XGB ( n_estimators = 10 ) ),ada ( XGB ( n_estimators = 10 ) ),0,0.59375,0.40625,1.5943619809986558
bag ( XGB ( n_estimators = 50 ) ),bag ( XGB ( n_estimators = 50 ) ),1,0.5982142857142857,0.4017857142857143,2.0862002589929034
ada ( XGB ( max_depth = 3 ) ),ada ( XGB ( max_depth = 3 ) ),0,0.59375,0.40625,3.1058965240008547
ada ( XGB ( max_depth = 2 ) ),ada ( XGB ( max_depth = 2 ) ),0,0.59375,0.40625,3.292085198998393
vote ( NB ( var_smoothing = 1e-8 ) ),vote ( NB ( var_smoothing = 1e-8 ) ),0,0.6294642857142857,0.3705357142857143,0.04309323400229914
vote ( KNN ( n_neighbors = 2 ) ; voting = hard ),vote ( KNN ( n_neighbors = 2 ) ; voting = hard ),0,0.625,0.375,0.012529221996373963
"stack ( DT ( max_depth = 2 , criterion = entropy ) ; cv = 2 )","stack ( DT ( max_depth = 2 , criterion = entropy ) ; cv = 2 )",3,0.6607142857142857,0.3392857142857143,0.1347213519984507
stack ( DT ( max_depth = 2 ) ; cv = 5 ),stack ( DT ( max_depth = 2 ) ; cv = 5 ),0,0.6607142857142857,0.3392857142857143,0.14212274300371064
"stack ( DT ( max_depth = 2 , criterion = entropy ) ; final_estimator = RF , cv = 3 )","stack ( DT ( max_depth = 2 , criterion = entropy ) ; final_estimator = RF , cv = 3 )",0,0.6607142857142857,0.3392857142857143,0.144388403998164
"stack ( DT ( max_depth = 2 , criterion = entropy , min_samples_split = 0.4 ) ; final_estimator = LR , cv = 3 )","stack ( DT ( max_depth = 2 , criterion = entropy , min_samples_split = 0.4 ) ; final_estimator = LR , cv = 3 )",0,0.6607142857142857,0.3392857142857143,0.13973426300071878
"stack ( DT ( max_depth = 2 , criterion = entropy ) ; cv = 1 )","stack ( DT ( max_depth = 2 , criterion = entropy ) ; cv = 1 )",2,0.6607142857142857,0.3392857142857143,0.13576322900189552
"bag ( XGB ( n_estimators = 3 , max_depth = 2 ) ; n_estimators = 3 )","bag ( XGB ( n_estimators = 3 , max_depth = 2 ) ; n_estimators = 3 )",1,0.6607142857142857,0.3392857142857143,0.14925994599616388
"stack ( KNN ( n_neighbors = 3 ) ; final_estimator = SVM , cv = 2 )","stack ( KNN ( n_neighbors = 3 ) ; final_estimator = SVM , cv = 2 )",0,0.5892857142857143,0.4107142857142857,0.15578469000320183
bag ( KNN ( n_neighbors = 3 ) ; n_estimators = 10 ),bag ( KNN ( n_neighbors = 3 ) ; n_estimators = 10 ),0,0.5758928571428571,0.4241071428571429,0.10707530799845699
stack ( XGB ( n_estimators = 3 ) ),stack ( XGB ( n_estimators = 3 ) ),0,0.6428571428571429,0.3571428571428571,0.19310303899692371
"bag ( SVM ( C = 50 , kernel = sigmoid ) )","bag ( SVM ( C = 50 , kernel = sigmoid ) )",0,0.6071428571428571,0.3928571428571429,0.28123977500217734
"ada ( GB ( n_estimators = 50 ) ; n_estimators = 2 , learning_rate = 10 )","ada ( GB ( n_estimators = 50 ) ; n_estimators = 2 , learning_rate = 10 )",0,0.33482142857142855,0.6651785714285714,0.34941640900069615
stack ( XGB ( max_depth = 2 ) ),stack ( XGB ( max_depth = 2 ) ),1,0.6339285714285714,0.3660714285714286,0.4539756509984727
"stack ( DT ( max_depth = 2 , criterion = entropy ) ; final_estimator = XGB , cv = 3 )","stack ( DT ( max_depth = 2 , criterion = entropy ) ; final_estimator = XGB , cv = 3 )",2,0.6607142857142857,0.3392857142857143,0.12770196900237352
"stack ( DT ( max_depth = 5 , criterion = log_loss ) ; cv = 3 )","stack ( DT ( max_depth = 5 , criterion = log_loss ) ; cv = 3 )",0,0.6294642857142857,0.3705357142857143,0.13786957399861421
"stack ( DT ( max_depth = 10 , criterion = entropy ) ; cv = 5 )","stack ( DT ( max_depth = 10 , criterion = entropy ) ; cv = 5 )",0,0.5803571428571429,0.4196428571428571,0.15750464700249722
