model_string,cache_key,hit_count,accuracy,mae,training_time_sec
"bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )","bag ( KNN ( n_neighbors = 50 ) ; n_estimators = 50 , max_features = 1.0 )",0,0.5625,0.4375,0.09856806200000001
"bag ( SVM ( C = 50 , kernel = poly ) )","bag ( SVM ( C = 50 , kernel = poly ) )",5,0.6473214285714286,0.3526785714285714,1.2723936620000003
stack ( RF ( max_depth = 5 ) ),stack ( RF ( max_depth = 5 ) ),0,0.6383928571428571,0.3616071428571429,1.336180809
bag ( NB ( var_smoothing = 1e-9 ) ),bag ( NB ( var_smoothing = 1e-9 ) ),0,0.6205357142857143,0.3794642857142857,0.027566688999999478
"bag ( SVM ( C = 10 , kernel = linear ) )","bag ( SVM ( C = 10 , kernel = linear ) )",0,0.6026785714285714,0.3973214285714286,2.0497487850000002
bag ( NB ( var_smoothing = 1e-7 ) ),bag ( NB ( var_smoothing = 1e-7 ) ),0,0.6383928571428571,0.3616071428571429,0.025009564999999512
"bag ( LR ( C = 0.1 , max_iter = 2 ) )","bag ( LR ( C = 0.1 , max_iter = 2 ) )",0,0.6160714285714286,0.3839285714285714,0.049619039999999615
stack ( KNN ( n_neighbors = 2 ) ),stack ( KNN ( n_neighbors = 2 ) ),0,0.5982142857142857,0.4017857142857143,0.026699295000000234
"vote ( RF ( n_estimators = 10 , max_depth = 50 ) , LR ( penalty = elasticnet ) )","vote ( RF ( n_estimators = 10 , max_depth = 50 ) , LR ( penalty = elasticnet ) )",0,0.6116071428571429,0.3883928571428571,0.04437219500000111
bag ( KNN ( n_neighbors = 2 ) ),bag ( KNN ( n_neighbors = 2 ) ),0,0.5848214285714286,0.4151785714285714,0.01943917899999903
"vote ( LR ( C = 0.1 , max_iter = 2 ) ; voting = soft )","vote ( LR ( C = 0.1 , max_iter = 2 ) ; voting = soft )",0,0.6160714285714286,0.3839285714285714,0.0037984120000000843
"bag ( LR ( C = 0.1 , max_iter = 50 ) )","bag ( LR ( C = 0.1 , max_iter = 50 ) )",0,0.6160714285714286,0.3839285714285714,0.060247962000000044
bag ( LR ( penalty = l2 ) ),bag ( LR ( penalty = l2 ) ),0,0.6294642857142857,0.3705357142857143,0.09091245299999962
bag ( LR ( C = 1.0 ) ),bag ( LR ( C = 1.0 ) ),0,0.6205357142857143,0.3794642857142857,0.05540150200000049
"bag ( LR ( C = 0.1 , max_iter = 5 ) )","bag ( LR ( C = 0.1 , max_iter = 5 ) )",0,0.6116071428571429,0.3883928571428571,0.046507462000001
"bag ( LR ( C = 0.1 , max_iter = 3 ) )","bag ( LR ( C = 0.1 , max_iter = 3 ) )",0,0.6205357142857143,0.3794642857142857,0.04115239300000084
